Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (Ohio),Amazon Virtual Private Cloud (VPC),0,36.5,438,USD,Number of Site-to-Site VPN Connections (1)
My Estimate,US East (Ohio),Amazon RDS for MySQL,0,646.526,7758.31,USD,"Quantity (1), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (30 GB), Instance type (db.m5.2xlarge)"
My Estimate,US East (Ohio),Amazon EC2,0,1459.15,17509.8,USD,"Operating system (Linux), Quantity (4), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (30 GB), Instance type (m4.4xlarge)"
My Estimate,US East (Ohio),Amazon Route 53,0,2501.5,30018,USD,Hosted Zones (1)
,,,,,,,
,,,,,,,
,,,,,,,
"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,
,,,,,,,
Rationale for change,,,,,,,
"I decided to reduce the size of the RDS EC2 instance to a size db.m5.2xlarge, 32GB Memory with 8 vCPUs",,,,,,,
"Also if the budget is reduced, then the customer likely doesn't need a lot of memory and CPU for the RDS.",,,,,,,
